source_references,msgctxt,msgid,msgstr,comments
,,,POT-Creation-Date: 2026-04-18 23:40-0400\nMIME-Version: 1.0\nContent-Type: text/plain; charset=utf-8\nContent-Transfer-Encoding: 8bit\nX-Generator: @lingui/cli\nLanguage: el\n,
src/components/layouts/Event/index.tsx:194 | src/components/layouts/OrganizerLayout/index.tsx:215,,- Click to Publish,"=GOOGLETRANSLATE(C3, ""en"", ""el"")",
src/components/layouts/Event/index.tsx:196 | src/components/layouts/OrganizerLayout/index.tsx:217,,- Click to Unpublish,"=GOOGLETRANSLATE(C4, ""en"", ""el"")",
src/components/common/NoResultsSplash/index.tsx:14,,'There\\'s nothing to show yet',"=GOOGLETRANSLATE(C5, ""en"", ""el"")",
src/components/routes/admin/Attribution/index.tsx:146,,(empty),"=GOOGLETRANSLATE(C6, ""en"", ""el"")",
src/components/common/ReportTable/index.tsx:303,,{0},"=GOOGLETRANSLATE(C7, ""en"", ""el"")",
src/components/common/CheckInStatusModal/index.tsx:143,,{0} {1},"=GOOGLETRANSLATE(C8, ""en"", ""el"")",
src/components/layouts/CheckIn/index.tsx:259,,{0} {1} is already checked in,"=GOOGLETRANSLATE(C9, ""en"", ""el"")",
src/components/layouts/CheckIn/index.tsx:154,,{0} <0>checked in</0> successfully,"=GOOGLETRANSLATE(C10, ""en"", ""el"")",
src/components/layouts/CheckIn/index.tsx:181,,{0} <0>checked out</0> successfully,"=GOOGLETRANSLATE(C11, ""en"", ""el"")",
src/components/routes/event/Webhooks/index.tsx:24 | src/components/routes/organizer/Webhooks/index.tsx:25,,{0} Active Webhooks,"=GOOGLETRANSLATE(C12, ""en"", ""el"")",
src/components/routes/product-widget/SelectProducts/index.tsx:477,,{0} available,"=GOOGLETRANSLATE(C13, ""en"", ""el"")",
src/components/modals/CreateTaxOrFeeModal/index.tsx:36,,{0} created successfully,"=GOOGLETRANSLATE(C14, ""en"", ""el"")",
src/components/common/ProductsTable/SortableProduct/index.tsx:403,,{0} left,"=GOOGLETRANSLATE(C15, ""en"", ""el"")",
src/components/layouts/AppLayout/Sidebar/index.tsx:81 | src/components/layouts/AuthLayout/index.tsx:137,,{0} logo,"=GOOGLETRANSLATE(C16, ""en"", ""el"")",
src/components/routes/events/Dashboard/index.tsx:141,,{0} organizers,"=GOOGLETRANSLATE(C17, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:612,,{0} tickets,"=GOOGLETRANSLATE(C18, ""en"", ""el"")",
src/components/modals/EditTaxOrFeeModal/index.tsx:42,,{0} updated successfully,"=GOOGLETRANSLATE(C19, ""en"", ""el"")",
src/components/common/CheckIn/CheckInInfoModal.tsx:40,,{0}/{1} checked in,"=GOOGLETRANSLATE(C20, ""en"", ""el"")",
src/components/common/EventCard/index.tsx:125,,{availableCount} of {totalCount} available,"=GOOGLETRANSLATE(C21, ""en"", ""el"")",
src/components/common/Countdown/index.tsx:68,,"{days} days, {hours} hours, {minutes} minutes, and {seconds} seconds","=GOOGLETRANSLATE(C22, ""en"", ""el"")",
src/components/common/OrganizerWebhookTable/index.tsx:79 | src/components/common/WebhookTable/index.tsx:79,,{eventCount} events,"=GOOGLETRANSLATE(C23, ""en"", ""el"")",
src/components/common/Countdown/index.tsx:70,,"{hours} hours, {minutes} minutes, and {seconds} seconds","=GOOGLETRANSLATE(C24, ""en"", ""el"")",
src/components/common/Countdown/index.tsx:72,,{minutes} minutes and {seconds} seconds,"=GOOGLETRANSLATE(C25, ""en"", ""el"")",
src/components/routes/welcome/index.tsx:269,,{organizerName}'s first event,"=GOOGLETRANSLATE(C26, ""en"", ""el"")",
src/components/common/EventCard/index.tsx:121,,{totalCount} ticket types,"=GOOGLETRANSLATE(C27, ""en"", ""el"")",
src/components/routes/organizer/Settings/Sections/BasicSettings/index.tsx:98,,+1 234 567 890,"=GOOGLETRANSLATE(C28, ""en"", ""el"")",
src/components/common/ProductsTable/SortableProduct/index.tsx:376,,+Tax/Fees,"=GOOGLETRANSLATE(C29, ""en"", ""el"")",
src/components/common/CheckInListList/index.tsx:51,,"<0>Check-in lists help you manage event entry by day, area, or ticket type. You can link tickets to specific lists such as VIP zones or Day 1 passes and share a secure check-in link with staff. No account is required. Check-in works on mobile, desktop, or tablet, using a device camera or HID USB scanner.                                </0>","=GOOGLETRANSLATE(C30, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:334,,<0>https://</0>your-website.com,"=GOOGLETRANSLATE(C31, ""en"", ""el"")",
src/components/forms/ProductForm/index.tsx:309,,<0>Please enter the price excluding taxes and fees.</0><1>Taxes and fees can be added below.</1>,"=GOOGLETRANSLATE(C32, ""en"", ""el"")",
src/components/common/CapacityAssignmentList/index.tsx:50,,"<0>Set a single total attendance limit that applies to multiple ticket types at once.</0><1>For example, if you link a <2>Day Pass</2> and a <3>Full Weekend</3> ticket, they will both draw from the same pool of spots. Once the limit is reached, all linked tickets automatically stop selling.</1>","=GOOGLETRANSLATE(C33, ""en"", ""el"")",
src/components/forms/ProductForm/index.tsx:326,,<0>The number of products available for this product</0><1>This value can be overridden if there are <2>Capacity Limits</2> associated with this product.</1>,"=GOOGLETRANSLATE(C34, ""en"", ""el"")",
src/components/common/OrganizerWebhookTable/index.tsx:205 | src/components/common/WebhookTable/index.tsx:205,,"<0>Webhooks instantly notify external services when events happen, like adding a new attendee to your CRM or mailing list upon registration, ensuring seamless automation.</0><1>Use third-party services like <2>Zapier</2>, <3>IFTTT</3> or <4>Make</4> to create custom workflows and automate tasks.</1>","=GOOGLETRANSLATE(C35, ""en"", ""el"")",
src/components/common/PlatformFeesSettings/index.tsx:162,,≈ {0} at current rate,"=GOOGLETRANSLATE(C36, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:139,,⚡️ Set up your event,"=GOOGLETRANSLATE(C37, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:124,,🎟️ Add tickets,"=GOOGLETRANSLATE(C38, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:167,,🎨 Customize your event page,"=GOOGLETRANSLATE(C39, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:152,,💳 Connect with Stripe,"=GOOGLETRANSLATE(C40, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:181,,🚀 Set your event live,"=GOOGLETRANSLATE(C41, ""en"", ""el"")",
src/components/common/Countdown/index.tsx:34,,0 minutes and 0 seconds,"=GOOGLETRANSLATE(C42, ""en"", ""el"")",
src/components/routes/event/Webhooks/index.tsx:23 | src/components/routes/organizer/Webhooks/index.tsx:24,,1 Active Webhook,"=GOOGLETRANSLATE(C43, ""en"", ""el"")",
src/components/modals/SendMessageModal/index.tsx:119,,1 day after end date,"=GOOGLETRANSLATE(C44, ""en"", ""el"")",
src/components/modals/SendMessageModal/index.tsx:113,,1 day after start date,"=GOOGLETRANSLATE(C45, ""en"", ""el"")",
src/components/modals/SendMessageModal/index.tsx:111,,1 day before event,"=GOOGLETRANSLATE(C46, ""en"", ""el"")",
src/components/modals/SendMessageModal/index.tsx:112,,1 hour before event,"=GOOGLETRANSLATE(C47, ""en"", ""el"")",
